,similarity
z_id_tables_licensed_ging@planet2012,0.40239142066883227
z_id_tables_licensed_dataset_100,0.3982281124850189
dataset_sorted_100_1,0.3982281124850188
z_attrition_rate_tables_licensed_test-data,0.22582111811352878
z_lead_time_tables_licensed_hotel_bookings,0.2203792494912494
z_attrition_rate_tables_licensed_train,0.20508032729236889
8427f50a21ae03cb9d77bde9511b1abf_userdata_1,0.19107502855834507
z_attrition_rate_tables_licensed_test_2,0.18090060917870104
z_parent_tables_licensed_culture500_data_preprocessed,0.14685483883340308
z_parent_tables_licensed_agencies_20,0.14080962959013782
z_id_tables_licensed_races_4,0.11163654051112883
edison_omar_sample_patterns,0.10460928522589061
VariablesLookUp,0.044237287725807505
z_parent_tables_licensed_category-import_20161024-194026_01,0.02947981674532413
z_parent_tables_licensed_category-import_20161024-194026_01_3,0.02893296431547681
z_dwarf_tables_licensed_cardInfo,0.02783914154028746
z_id_tables_licensed_django_admin_log_1,0.025792859104350214
z_dwarf_tables_licensed_cardlist,0.021638851258414422
z_id_tables_licensed_grid_bogota,4.826217531348382e-05
